Seal,Municipality,Units,Area,Location,Population,Population,Mayor
Seal,Municipality,Units,Area,Location,2011,Civil registry,Mayor
,Belsh,"Belsh, Fierzë, Grekan, Kajan, Rrasë",196.55 km2 (75.89 sq mi),,19503,32389,Arif Tafani (PS)
,Berat,"Berat, Otllak, Roshnik, Sinjë, Velabisht",380.21 km2 (146.80 sq mi),,60031,98875,Ervin Demo (PS)
,Bulqizë,"Bulqizë, Fushë-Bulqizë, Gjoricë, Martanesh, Ostren, Shupenzë, Trebisht, Zerqan",678.73 km2 (262.06 sq mi),,31210,40223,Festime Mjeshtri (PS)
,Cërrik,"Cërrik, Gostimë, Klos, Mollas, Shalës",189.77 km2 (73.27 sq mi),,27445,46652,Andis Sala (PS)
,Delvinë,"Delvinë, Vergo",183.01 km2 (70.66 sq mi),,7598,18078,Besmir Veli (PS)
,Devoll,"Bilisht, Hoçisht, Miras, Progër, Qendër Bilisht",458.01 km2 (176.84 sq mi),,26716,42388,Eduard Duro (PS)
,Dibër,"Arras, Fushë-Çidhën, Kala e Dodës, Kastriot, Lurë, Luzni, Maqellarë, Melan, Muhurr, Peshkopi, Selishtë, Sllovë, Tomin, Zall-Dardhë, Zall-Reç",938.65 km2 (362.41 sq mi),,61619,78940,Rahim Spahiu (PS)
,Dimal,"Cukalat, Dimal, Kutalli, Poshnjë,",156.65 km2 (60.48 sq mi),,27295,39551,Juliana Memaj (PS)
,Divjakë,"Divjakë, Grabian, Gradishtë, Remas, Tërbuf",359.41 km2 (138.77 sq mi),,34254,53372,Josif Gorrea (PS)
,Dropull,"Dropull i Poshtëm, Dropull i Sipërm, Pogon",448.45 km2 (173.15 sq mi),,3503,23131,Dhimitraq Toli (PS)
,Durrës,"Durrës, Ishëm, Katund i Ri, Manëz, Rrashbull, Sukth",338.96 km2 (130.87 sq mi),,175110,299989,Emiriana Sako (PS)
,Elbasan,"Bradashesh, Elbasan, Funarë, Gjergjan, Gjinar, Gracen, Labinot-Fushë, Labinot-Mal, Papër, Shirgjan, Shushicë, Tregan, Zavalinë",872.61 km2 (336.92 sq mi),,141714,205892,Gledian Llatja (PS)
,Fier,"Cakran, Dërmenas, Fier, Frakull, Levan, Libofshë, Mbrostar Ura, Portëz, Qendër, Topojë",620.83 km2 (239.70 sq mi),,120655,196324,Armando Subashi (PS)
,Finiq,"Aliko, Dhivër, Finiq, Livadhja, Mesopotam",444.28 km2 (171.54 sq mi),,11862,39055,Romeo Çakuli (M.E.G.A)
,Fushë-Arrëz,"Blerim, Fierzë, Fushë-Arrëz, Iballë, Qafë-Mali",540.77 km2 (208.79 sq mi),,7405,11651,Hil Curri (BF)
,Gjirokastër,"Antigonë, Cepo, Gjirokastër, Lazarat, Lunxhëri, Odrie, Picar",469.55 km2 (181.29 sq mi),,25301,52054,Flamur Golemi (PS)
,Gramsh,"Gramsh, Kodovjat, Kukur, Kushovë, Lenie, Pishaj, Poroçan, Skënderbegas, Sult, Tunjë",739.75 km2 (285.62 sq mi),,24231,36305,Besion Ajazi (PS)
,Has,"Fajzë, Gjinaj, Golaj, Krumë",400.01 km2 (154.44 sq mi),,16790,21247,Miftar Dauti (BF)
,Himarë,"Himarë, Horë-Vranisht, Lukovë",572.22 km2 (220.94 sq mi),,5738,27049,Vangjel Tavo (PS)
,Kamëz,"Kamëz, Paskuqan",37.20 km2 (14.36 sq mi),,104190,125632,Rakip Suli (PS)
,Kavajë,"Golem, Helmas, Kavajë, Luz i Vogël, Synej",199.00 km2 (76.83 sq mi),,40094,79556,Fisnik Qosja (BF)
,Këlcyrë,"Ballaban, Dishnicë, Këlcyrë, Sukë",304.86 km2 (117.71 sq mi),,6113,12468,Klement Ndoni (PS)
,Klos,"Gurrë, Klos, Suç, Xibër",357.72 km2 (138.12 sq mi),,16618,16618,Valbona Kola (PS)
,Kolonjë,"Barmash, Çlirim, Ersekë, Leskovik, Mollas, Novoselë, Qendër Ersekë, Qendër Leskovik",864.74 km2 (333.88 sq mi),,11070,19919,Erion Isai (PS)
,Konispol,"Konispol, Markat, Xarrë",226.26 km2 (87.36 sq mi),,8245,17737,Ergest Dule (PS)
,Korçë,"Drenovë, Korçë, Lekas, Mollaj, Qendër Bulgarec, Vithkuq, Voskop, Voskopojë",806.67 km2 (311.46 sq mi),,75994,129065,Sotiraq Filo (PS)
,Krujë,"Bubq, Cudhi, Fushë-Krujë, Krujë, Nikël, Kodër-Thumanë",339.20 km2 (130.97 sq mi),,59814,79608,Artur Bushi (PS)
,Kuçovë,"Kozare, Kuçovë, Lumas, Perondi",160.33 km2 (61.90 sq mi),,31262,55293,Kreshnik Hajdari (PS)
,Kukës,"Arrën, Bicaj, Bushtricë, Grykë-Çajë, Kalis, Kolsh, Kukës, Malzi, Shishtavec, Shtiqën, Surroj, Tërthore, Topojan, Ujëmisht, Zapod",934.80 km2 (360.93 sq mi),,47985,59393,Albert Halilaj (PS)
,Kurbin,"Fushë Kuqe, Laç, Mamurras, Milot",276.25 km2 (106.66 sq mi),,46291,72987,Majlinda Cara (PS)
,Lezhë,"Balldren, Blinisht, Dajç, Kallmet, Kolsh, Lezhë, Shëngjin, Shënkoll, Ungrej, Zejmen",514.97 km2 (198.83 sq mi),,65633,106245,Pjerin Ndreu (PS)
,Libohovë,"Libohovë, Qendër Libohovë, Zagori",248.42 km2 (95.92 sq mi),,3667,7158,Leonard Hide (PS)
,Librazhd,"Hotolisht, Librazhd, Lunik, Orenjë, Polis, Qendër Librazhd, Stëblevë",793.99 km2 (306.56 sq mi),,31892,44181,Mariglen Disha (PS)
,Lushnjë,"Allkaj, Ballagat, Bubullimë, Dushk, Fier-Shegan, Golem, Hysgjokaj, Karbunarë, Kolonjë, Krutje, Lushnjë",372.91 km2 (143.98 sq mi),,83659,127438,Eriselda Sefa (PS)
,Malësi e Madhe,"Gruemirë, Kastrat, Kelmend, Koplik, Qendër, Shkrel","1,069.91 km2 (413.09 sq mi)",,30823,53918,Tonin Marinaj (PS)
,Maliq,"Gorë, Libonik, Maliq, Moglicë, Pirg, Pojan, Vreshtas",656.89 km2 (253.63 sq mi),,41757,64664,Gëzim Topçiu (PS)
,Mallakastër,"Aranitas, Ballsh, Fratar, Greshicë, Hekal, Kutë, Ngraçan, Qendër Dukas, Selitë",329.37 km2 (127.17 sq mi),,27062,43033,Qerim Ismailaj (PS)
,Mat,"Baz, Burrel, Derjan, Komsi, Lis, Macukull, Rukaj, Ulëz",493.81 km2 (190.66 sq mi),,27600,38615,Agron Malaj (PS)
,Memaliaj,"Buz, Krahës, Luftinjë, Memaliaj, Memaliaj Fshat, Qesarat",372.30 km2 (143.75 sq mi),,10657,21467,Albert Malaj (BF)
,Mirditë,"Fan, Kaçinar, Kthellë, Orosh, Rrëshen, Rubik, Selitë",870.26 km2 (336.01 sq mi),,22103,37384,Albert Mëlyshi (BF)
,Patos,"Patos, Ruzhdie, Zharrëz",82.59 km2 (31.89 sq mi),,22959,42738,Fation Duro (PS)
,Peqin,"Gjoçaj, Karinë, Pajovë, Peqin, Përparim, Shezë",197.90 km2 (76.41 sq mi),,26136,38900,Bukurosh Maçi (PS)
,Përmet,"Çarçovë, Frashër, Përmet, Petran, Qendër Piskovë",602.47 km2 (232.61 sq mi),,10614,20301,Alma Hoxha (PS)
,Pogradec,"Buçimas, Çërravë, Dardhas, Pogradec, Proptisht, Trebinjë, Udenisht, Velçan",703.37 km2 (271.57 sq mi),,61530,90976,Ilir Xhakolli (PS)
,Poliçan,"Poliçan, Tërpan, Vërtop",272.20 km2 (105.10 sq mi),,10953,18341,Adriatik Zotkaj (PS)
,Prrenjas,"Prrenjas, Qukës, Rrajcë, Stravaj",323.17 km2 (124.78 sq mi),,24906,33031,Nuri Belba (PS)
,Pukë,"Gjegjan, Pukë, Qelëz, Qerret, Rrapë",505.83 km2 (195.30 sq mi),,11069,16836,Rrok Dodaj (BF)
,Pustec,Pustec,243.60 km2 (94.05 sq mi),,3290,5191,Pali Kolefski (PS)
,Roskovec,"Kuman, Kurjan, Roskovec, Strum",118.08 km2 (45.59 sq mi),,21742,31548,Majlinda Bufi (PS)
,Rrogozhinë,"Gosë, Kryevidh, Lekaj, Rrogozhinë, Sinaballaj",223.73 km2 (86.38 sq mi),,22148,40684,Edison Memolla (PS)
,Sarandë,"Ksamil, Sarandë",29.12 km2 (11.24 sq mi),,20227,50680,Oltion Çaçi (PS)
,Selenicë,"Armen, Brataj, Kotë, Selenicë, Sevaster, Vllahinë",561.52 km2 (216.80 sq mi),,18476,35793,Nertil Bellaj (PS)
,Shijak,"Gjepalaj, Maminas, Shijak, Xhafzotaj",92.24 km2 (35.61 sq mi),,34513,44103,Elton Arbana (PS)
,Shkodër,"Ana e Malit, Bërdicë, Dajç, Guri i Zi, Postribë, Pult, Rrethinat, Shalë, Shkodër, Shosh, Velipojë",911.84 km2 (352.06 sq mi),,135612,200889,Benet Beci (PS)
,Skrapar,"Bogovë, Çepan, Çorovodë, Gjerbës, Leshnjë, Potom, Qendër Skrapar, Vendreshë, Zhepë",832.04 km2 (321.25 sq mi),,12403,19072,Adriatik Mema (PS)
,Tepelenë,"Kurvelesh, Lopës, Qendër Tepelenë, Tepelenë",431.50 km2 (166.60 sq mi),,8949,16371,Tërmet Peçi (PS)
,Tiranë,"Baldushk, Bërzhitë, Dajt, Farkë, Kashar, Krrabë, Ndroq, Petrelë, Pezë, Shëngjergj, Tiranë, Vaqarr, Zall-Bastar, Zall-Herr","1,110.68 km2 (428.84 sq mi)",,557422,757361,Erion Veliaj (PS)
